coupon_id,promotion_id,customer_id,order_id,discount_amount
1,6,11047,1,815.88
2,41,55437,7,700.38
3,70,60787,8,44.04
4,82,48736,18,1421.11
5,14,11391,19,109.57
6,14,30684,21,352.12
7,89,20098,26,1350.3
8,73,40942,30,622.54
9,10,49939,34,195.3
10,100,93317,38,2536.52
11,57,20297,41,1134.77
12,54,65617,42,1825.65
13,9,72171,43,1669.05
14,79,96835,48,821.61
15,40,63027,50,778.27
16,54,4730,51,2167.75
17,10,53322,61,2507.54
18,67,82470,65,1806.36
19,78,58114,70,548.83
20,25,38582,75,1379.86
21,85,36457,79,272.34
22,19,1101,85,1690.17
23,15,84536,87,2526.75
24,36,67800,94,148.18
25,50,6306,95,137.94
26,80,8780,101,488.92
27,39,29374,104,1933.48
28,71,42650,110,439.5
29,63,87909,123,533.35
30,72,62235,125,1894.75
31,10,37048,127,407.72
32,12,96100,128,197.1
33,94,85426,130,2214.35
34,80,30256,132,492.55
35,65,97429,136,97.64
36,70,32298,143,536.07
37,34,17143,158,2867.3
38,98,3685,164,754.4
39,51,32116,165,1604.79
40,97,56378,168,606.53
41,98,54243,171,1128.59
42,48,84823,179,2270.57
43,62,33365,186,1092.77
44,84,2926,201,1140.86
45,66,12597,205,1044.63
46,61,73966,218,1910.38
47,90,66025,222,306.12
48,48,65414,228,1644.2
49,8,97491,230,129.9
50,18,61066,246,255.62
51,75,57339,248,1013.8
52,53,55086,256,2068.32
53,60,51519,258,3404.27
54,69,68081,263,238.49
55,100,32457,265,1859.58
56,73,71392,266,754.12
57,17,21594,269,1882.68
58,10,36328,273,719.66
59,48,72975,274,3280.75
60,86,38111,275,1709.32
61,91,62363,277,787.86
62,49,46661,281,1034.08
63,45,41205,284,526.26
64,43,87282,286,2660.74
65,66,65434,289,421.46
66,24,56555,299,1000.54
67,86,27448,302,69.11
68,62,74475,304,5355.75
69,37,92723,306,685.1
70,85,45207,307,2064.39
71,45,32639,312,1345.8
72,78,51761,313,1099.92
73,5,74478,315,427.69
74,37,41374,319,1402.92
75,73,18939,328,1438.0
76,66,33149,334,326.89
77,51,53704,339,1315.06
78,8,58729,351,179.1
79,35,20395,352,3601.51
80,68,25295,355,617.79
81,70,55714,356,228.53
82,57,7207,371,439.32
83,35,14182,374,239.07
84,21,76064,377,606.93
85,43,29793,378,670.05
86,68,34625,386,649.71
87,71,4370,403,1303.71
88,42,26114,404,560.4
89,52,4861,412,1375.02
90,13,40939,414,3146.44
91,39,61809,420,1234.83
92,81,6477,423,329.74
93,71,54056,426,462.82
94,35,75696,427,2016.18
95,65,65994,428,119.79
96,39,2526,431,3766.95
97,53,6814,432,1505.2
98,53,53670,446,751.79
99,76,49556,448,1403.66
100,36,58660,451,2025.72
101,95,42314,458,3310.44
102,77,37343,461,2751.78
103,14,2158,467,284.28
104,10,8375,470,1312.61
105,96,37461,474,2101.5
