product_id,product_name,category_id,supplier_id,brand_id,selling_price,cost_price,launch_date,status
1,Land Medical,4,276,69,195.28,99.08,2025-12-04,Discontinued
2,Serious Mother,24,96,90,650.21,464.21,2022-11-07,Active
3,Respond Technology,17,230,196,496.46,288.0,2023-02-03,Active
4,East Require,13,288,118,649.14,309.09,2020-02-11,Active
5,Edge Specific,25,179,180,716.46,368.63,2020-07-17,Active
6,Hot Space,19,223,30,93.97,50.33,2025-04-25,Active
7,Get Recently,9,244,142,97.91,53.98,2022-07-15,Active
8,Star Season,23,274,150,610.75,399.25,2020-07-01,Active
9,Operation Ground,12,62,132,458.85,273.87,2022-06-20,Active
10,Daughter Imagine,13,175,117,738.43,358.4,2022-06-04,Active
11,Because East,18,262,85,19.1,11.98,2020-03-06,Active
12,Bit Point,11,69,1,105.26,60.51,2021-09-11,Active
13,Anyone News,25,123,54,264.85,128.56,2024-02-01,Active
14,Religious Citizen,3,101,7,457.77,225.43,2024-12-13,Discontinued
15,Owner List,3,265,34,692.96,492.42,2022-03-04,Active
16,Politics Thing,24,237,178,89.76,71.0,2023-01-06,Active
17,Wonder Happy,4,85,167,918.46,447.31,2023-11-27,Active
18,Entire Between,15,240,29,502.4,263.04,2022-07-15,Active
19,For Recently,10,109,155,585.2,376.83,2020-09-04,Active
20,Suddenly Usually,13,128,15,487.7,252.41,2020-06-03,Discontinued
21,Owner Specific,4,10,84,168.42,77.14,2022-06-09,Active
22,Power City,22,244,5,336.43,265.09,2020-05-27,Active
23,Send Cup,10,265,188,432.25,320.91,2021-10-30,Active
24,Table Whose,24,45,78,508.76,348.83,2022-12-30,Active
25,Reveal Goal,24,246,178,191.18,103.75,2020-12-24,Active
26,Still Lot,20,281,181,352.86,200.36,2024-06-05,Active
27,Pass Find,12,124,174,988.18,464.85,2025-07-14,Discontinued
28,Issue Among,18,221,52,373.52,303.61,2025-12-12,Active
29,Power Marriage,5,55,163,789.56,390.31,2024-03-07,Active
30,Board Citizen,23,229,56,412.46,190.1,2022-02-14,Active
31,Beat Become,19,177,130,431.5,358.02,2021-05-04,Active
32,Name Theory,25,232,156,26.13,15.16,2025-04-30,Active
33,Explain Blood,7,103,123,331.65,197.62,2025-04-21,Active
34,His Dark,24,17,69,7.5,5.4,2025-10-30,Discontinued
35,Table Beat,20,236,9,174.61,148.23,2023-10-19,Active
36,Dinner Clear,25,214,16,276.92,219.66,2023-12-12,Active
37,Manager His,23,253,111,348.29,208.11,2022-07-22,Active
38,Religious Strong,14,298,189,400.2,326.21,2025-11-03,Active
39,Anyone Theory,2,78,186,292.47,198.95,2024-06-16,Active
40,Child Name,2,114,76,165.17,123.25,2023-02-10,Active
41,Popular Door,5,4,192,407.27,254.88,2021-05-04,Active
42,Happy Imagine,11,285,55,307.73,255.71,2020-10-18,Active
43,After Citizen,7,285,173,638.26,429.82,2022-06-11,Active
44,Course Paper,13,249,164,510.15,246.05,2022-05-01,Active
45,Hot Economy,13,186,115,704.74,381.19,2025-06-06,Active
46,Agreement Leave,7,80,20,431.63,279.84,2020-05-03,Active
47,Picture Morning,8,264,45,327.78,232.73,2022-01-13,Active
48,Need Technology,3,225,64,585.31,285.55,2025-01-15,Active
49,Course Life,8,230,25,673.41,420.19,2023-09-20,Active
50,Room Manager,16,265,150,494.07,295.13,2020-08-08,Discontinued
51,Well Movie,14,242,140,113.5,97.91,2020-09-09,Active
52,Area Physical,13,209,85,626.05,360.95,2022-11-11,Discontinued
53,Land Tv,7,32,15,487.32,347.88,2023-06-09,Active
54,Few Little,10,207,193,114.13,68.78,2021-06-26,Active
55,Anyone List,8,21,118,528.21,261.29,2022-06-25,Active
56,Dark Scientist,1,38,1,258.75,137.59,2022-08-06,Active
57,Become Notice,8,259,155,425.43,201.49,2025-07-26,Active
58,Fund Program,23,73,173,649.77,424.97,2021-07-11,Active
59,Serve Politics,3,288,158,506.6,352.03,2021-01-30,Active
60,Need Throughout,11,6,76,794.43,491.9,2025-01-23,Active
61,More For,18,153,76,207.65,117.14,2021-10-30,Active
62,Happy From,12,71,68,143.36,89.71,2024-11-18,Active
63,Room Left,10,31,52,495.31,325.23,2021-06-11,Active
64,Space Kind,19,205,47,900.12,438.25,2022-08-16,Active
65,Space Growth,4,155,38,377.06,256.09,2025-12-24,Discontinued
66,Join Reveal,3,40,68,672.91,309.64,2021-06-10,Active
67,While Stage,15,125,157,395.28,235.43,2020-06-17,Active
68,Join Establish,23,96,169,69.95,37.79,2021-01-23,Active
69,Source Morning,11,3,134,767.67,421.77,2021-10-21,Active
70,Recently Serve,10,249,94,308.29,175.61,2025-12-13,Active
71,Fight Yard,19,168,122,386.15,180.64,2025-12-19,Active
72,Fear Technology,14,177,200,259.04,144.49,2023-04-12,Active
73,Western Stand,8,87,134,299.28,255.42,2020-11-19,Discontinued
74,Them Together,20,59,39,339.37,267.15,2020-09-08,Active
75,Story Impact,6,219,3,485.69,267.18,2022-11-04,Active
