return_id,order_item_id,return_date,reason,refund_amount
1,1932819,2024-01-02,Changed Mind,661.59
2,42581,2024-06-12,Changed Mind,649.98
3,325593,2024-01-13,Not as Described,583.8
4,810557,2024-10-07,Late Delivery,450.41
5,1375940,2023-06-08,Not as Described,2488.38
6,800890,2023-07-23,Not as Described,3011.1
7,787466,2025-12-22,Changed Mind,471.61
8,1644824,2024-02-05,Late Delivery,271.56
9,1228470,2024-11-20,Late Delivery,1083.24
10,1664382,2024-08-17,Wrong Item,1010.22
11,79765,2023-10-04,Changed Mind,296.51
12,1335653,2024-09-01,Defective,1018.72
13,1067951,2024-03-01,Defective,1439.15
14,576077,2023-09-23,Late Delivery,965.0
15,1358446,2023-12-17,Changed Mind,1907.58
16,1223374,2023-03-21,Defective,329.19
17,801605,2024-02-28,Defective,497.16
18,833001,2025-11-30,Changed Mind,347.05
19,624137,2025-10-15,Changed Mind,826.72
20,273781,2025-10-08,Wrong Item,2574.08
21,1347697,2023-09-21,Defective,1142.13
22,873604,2024-01-12,Not as Described,616.86
23,575012,2023-09-13,Defective,523.84
24,480030,2023-08-24,Changed Mind,865.36
25,2111508,2025-04-25,Defective,3042.8
26,315439,2025-11-04,Defective,525.02
27,1105156,2025-01-15,Late Delivery,3720.05
28,2239877,2023-05-30,Not as Described,141.61
29,848647,2024-03-24,Changed Mind,388.98
30,1437324,2025-03-12,Not as Described,289.36
31,835606,2024-03-10,Late Delivery,1236.45
32,1720804,2023-01-29,Defective,1336.32
33,1946005,2024-01-02,Changed Mind,922.87
34,607779,2023-08-12,Late Delivery,8.08
35,993904,2024-01-26,Changed Mind,2747.45
36,883040,2023-09-27,Not as Described,225.37
37,913033,2024-12-28,Wrong Item,527.12
38,1171245,2023-05-27,Changed Mind,123.01
39,912278,2025-11-23,Not as Described,1985.66
40,63531,2025-09-09,Late Delivery,793.75
41,958895,2024-03-17,Not as Described,580.58
42,1196412,2023-09-11,Not as Described,4424.7
43,514966,2023-11-22,Not as Described,257.77
44,1780027,2023-11-16,Late Delivery,2104.56
45,1094408,2023-02-14,Not as Described,466.58
46,1752811,2023-10-14,Wrong Item,632.9
47,1599323,2025-05-31,Late Delivery,688.85
48,674181,2024-11-27,Changed Mind,1175.39
49,2053955,2024-12-05,Wrong Item,2374.45
50,2094171,2024-11-23,Not as Described,3912.05
51,2211995,2025-12-31,Changed Mind,1952.15
52,1051134,2025-04-13,Changed Mind,386.61
53,542340,2024-12-04,Late Delivery,3471.72
54,1098928,2025-12-16,Not as Described,799.54
55,729816,2024-07-21,Defective,342.72
56,224909,2025-10-11,Late Delivery,2431.17
57,1895750,2023-05-28,Late Delivery,201.06
58,724316,2025-01-02,Late Delivery,1621.45
59,1575137,2023-07-04,Late Delivery,880.98
